Symptoms,Label
I often experience shortness of breath.,Physical health
I have been feeling persistent fatigue lately.,Physical health
I am experiencing unexplained weight loss.,Physical health
I have a consistent cough that won't go away.,Physical health
I am dealing with frequent headaches.,Physical health
I have noticed a change in my appetite.,Physical health
I've been having trouble sleeping recently.,Physical health
I am experiencing muscle weakness.,Physical health
I have chronic back pain.,Physical health
I feel sharp chest pains occasionally.,Physical health
I have been suffering from prolonged dizziness.,Physical health
I get unusually tired after physical activity.,Physical health
I've noticed swelling in my ankles and feet.,Physical health
I have episodes of rapid heartbeat.,Physical health
I am experiencing joint pain and stiffness.,Physical health
I have persistent abdominal pain.,Physical health
I suffer from severe menstrual cramps.,Physical health
I have been having digestive issues frequently.,Physical health
I feel numbness in my hands and feet.,Physical health
I am dealing with constant throat irritation.,Physical health
I have unusually dry skin.,Physical health
I've noticed some vision changes.,Physical health
I am experiencing frequent urination.,Physical health
I have a high fever that won't subside.,Physical health
I am dealing with uncontrolled bleeding.,Physical health
I have sudden severe headaches.,Physical health
I get easily bruised without any apparent reason.,Physical health
I have been having chest congestion.,Physical health
I am experiencing a loss of balance.,Physical health
I have difficulty swallowing.,Physical health
I've been suffering from constant nausea.,Physical health
I have a persistent rash.,Physical health
I experience severe allergic reactions.,Physical health
I have irregular bowel movements.,Physical health
I am dealing with excessive sweating.,Physical health
I have a chronic sore throat.,Physical health
I get severe cramps in my legs.,Physical health
I have been experiencing unusual hair loss.,Physical health
I get muscle spasms frequently.,Physical health
I suffer from chronic dehydration.,Physical health
I experience tingling sensations in my limbs.,Physical health
I have unexplained bruises appearing.,Physical health
I suffer from frequent earaches.,Physical health
I have difficulty concentrating due to physical discomfort.,Physical health
I experience unexplained changes in my weight.,Physical health
I have a persistent feeling of being unwell.,Physical health
I suffer from extreme fatigue after eating.,Physical health
I have trouble breathing when lying down.,Physical health
I get sharp pains in my abdomen.,Physical health
I have been experiencing increased thirst.,Physical health
I suffer from regular night sweats.,Physical health
I have bouts of rapid and unexplained mood swings.,Physical health
I get sharp pains in my joints.,Physical health
I have trouble maintaining my balance.,Physical health
I experience blurred vision.,Physical health
I have persistent itching without a rash.,Physical health
I suffer from swelling in my lymph nodes.,Physical health
I experience a loss of muscle coordination.,Physical health
I have severe pain in my lower back.,Physical health
I suffer from extreme cold sensitivity.,Physical health
I have unexplained gastrointestinal discomfort.,Physical health
I experience frequent heartburn.,Physical health
I have a constant salty taste in my mouth.,Physical health
I suffer from severe migraines.,Physical health
I experience chest tightness.,Physical health
I have difficulty breathing during exercise.,Physical health
I get numbness in my face.,Physical health
I have been experiencing a persistent cough.,Physical health
I suffer from sudden vision loss in one eye.,Physical health
I have a loss of smell and taste.,Physical health
I experience ringing in my ears.,Physical health
"I have swollen, red, or painful joints.",Physical health
I get frequent infections.,Physical health
I experience severe abdominal cramping.,Physical health
I have trouble with frequent urination at night.,Physical health
I suffer from excessive thirst.,Physical health
I get dizzy spells when I stand up.,Physical health
I have chronic indigestion.,Physical health
I experience heat intolerance.,Physical health
I have a prolonged sore that doesn't heal.,Physical health
