Symptoms,Label
"Feelings of sadness, tearfulness, emptiness or hopelessness",Depression
"Angry outbursts, irritability or frustration, even over small matters",Depression
"Loss of interest or pleasure in most or all normal activities, such as sex, hobbies or sports",Depression
"Sleep disturbances, including insomnia or sleeping too much",Depression
"Tiredness and lack of energy, so even small tasks take extra effort",Depression
Reduced appetite and weight loss or increased cravings for food and weight gain,Depression
"Anxiety, agitation or restlessness",Depression
"Slowed thinking, speaking or body movements",Depression
"Feelings of worthlessness or guilt, fixating on past failures or self-blame",Depression
"Trouble thinking, concentrating, making decisions and remembering things",Depression
"Frequent or recurrent thoughts of death, suicidal thoughts, suicide attempts or suicide",Depression
"Unexplained physical problems, such as back pain or headaches",Depression
"Persistent physical symptoms that do not respond to treatment, such as headaches, digestive disorders, and chronic pain",Depression
"Decreased ability to concentrate, indecisiveness",Depression
Insomnia or hypersomnia nearly every day,Depression
"Markedly diminished interest or pleasure in all, or almost all, activities most of the day",Depression
Significant weight loss when not dieting or weight gain,Depression
Psychomotor agitation or retardation nearly every day,Depression
"Recurrent thoughts of death, recurrent suicidal ideation without a specific plan, or a suicide attempt or a specific plan for committing suicide",Depression
Feelings of worthlessness or excessive or inappropriate guilt,Depression
A loss of energy or fatigue nearly every day,Depression
"Diminished ability to think or concentrate, or indecisiveness",Depression
"Preoccupation with weight, food, calories, carbohydrates, fat grams, and dieting",Eating Disorder
"Refusal to eat certain foods, progressing to restrictions against whole categories of food (e.g., no carbohydrates, etc.)",Eating Disorder
Appears uncomfortable eating around others,Eating Disorder
Skipping meals or taking small portions of food at regular meals,Eating Disorder
Withdrawal from usual friends and activities,Eating Disorder
"Frequent dieting, extreme concern with body size and shape",Eating Disorder
Frequent checking in the mirror for perceived flaws in appearance,Eating Disorder
Extreme concern with body weight and shape,Eating Disorder
"Use of dietary supplements, laxatives, or herbal products for weight loss",Eating Disorder
Excessive exercise,Eating Disorder
"Expressing depression, disgust, shame, or guilt about eating habits",Eating Disorder
"Eating in secret, hiding eating, or eating alone",Eating Disorder
"Developing food rituals (e.g., eating foods in certain orders, excessive chewing, rearranging food on a plate)",Eating Disorder
Not wanting to eat in public,Eating Disorder
Feeling overwhelmed by food choices,Eating Disorder
"Sensitivity to comments or criticism about exercise habits, eating, and body shape",Eating Disorder
Denial of the seriousness of low body weight,Eating Disorder
Fear of eating in public or with others,Eating Disorder
"Stomach cramps, other non-specific gastrointestinal complaints (constipation, acid reflux, etc.)",Eating Disorder
