Economy,Code,Year,Schizophrenia (%),Bipolar disorder (%),Eating disorders (%),Anxiety disorders (%),Depression (%),Income group,average_learning_Adjusted_of_school,GDP(2022)
Afghanistan,AFG,1990,Low,Middle,Low,High,High,Low income,Low,Middle
Afghanistan,AFG,1991,Low,Middle,Low,High,High,Low income,Low,Middle
Afghanistan,AFG,1992,Low,Middle,Low,High,High,Low income,Low,Middle
Afghanistan,AFG,1993,Low,Middle,Low,High,High,Low income,Low,Middle
Afghanistan,AFG,1994,Low,Middle,Low,High,High,Low income,Low,Middle
Afghanistan,AFG,1995,Low,Middle,Low,High,High,Low income,Low,Middle
Afghanistan,AFG,1996,Low,Middle,Low,High,High,Low income,Low,Middle
Afghanistan,AFG,1997,Low,Middle,Low,High,High,Low income,Low,Middle
Afghanistan,AFG,1998,Low,Middle,Low,High,High,Low income,Low,Middle
Afghanistan,AFG,1999,Low,Middle,Low,High,High,Low income,Low,Middle
Afghanistan,AFG,2000,Low,Middle,Low,High,High,Low income,Low,Middle
Afghanistan,AFG,2001,Low,Middle,Low,High,High,Low income,Low,Middle
Afghanistan,AFG,2002,Low,Middle,Low,High,High,Low income,Low,Middle
Afghanistan,AFG,2003,Low,Middle,Low,High,High,Low income,Low,Middle
Afghanistan,AFG,2004,Low,Middle,Low,High,High,Low income,Low,Middle
Afghanistan,AFG,2005,Low,Middle,Low,High,High,Low income,Low,Middle
Afghanistan,AFG,2006,Low,Middle,Low,High,High,Low income,Low,Middle
Afghanistan,AFG,2007,Low,Middle,Low,High,High,Low income,Low,Middle
Afghanistan,AFG,2008,Low,Middle,Low,High,High,Low income,Low,Middle
Afghanistan,AFG,2009,Low,Middle,Low,High,High,Low income,Low,Middle
Afghanistan,AFG,2010,Low,Middle,Low,High,High,Low income,Low,Middle
Afghanistan,AFG,2011,Low,Middle,Low,High,High,Low income,Low,Middle
Afghanistan,AFG,2012,Low,Middle,Low,High,High,Low income,Low,Middle
Afghanistan,AFG,2013,Low,Middle,Low,High,High,Low income,Low,Middle
Afghanistan,AFG,2014,Low,Middle,Low,High,High,Low income,Low,Middle
Afghanistan,AFG,2015,Low,Middle,Low,High,High,Low income,Low,Middle
Afghanistan,AFG,2016,Low,Middle,Low,High,High,Low income,Low,Middle
Afghanistan,AFG,2017,Low,Middle,Low,High,High,Low income,Low,Middle
Albania,ALB,1990,Middle,Middle,Middle,Middle,Low,Upper middle income,Middle,Middle
